top - 09:25:38 up  1:14,  2 users,  load average: 1.25, 1.20, 1.07
top - 09:25:41 up  1:15,  2 users,  load average: 1.25, 1.20, 1.07
top - 09:25:44 up  1:15,  2 users,  load average: 1.23, 1.20, 1.07
top - 09:25:47 up  1:15,  2 users,  load average: 1.23, 1.20, 1.07
top - 09:25:50 up  1:15,  2 users,  load average: 1.21, 1.19, 1.07
top - 09:25:54 up  1:15,  2 users,  load average: 1.19, 1.19, 1.07
top - 09:25:57 up  1:15,  2 users,  load average: 1.19, 1.19, 1.07
top - 09:26:00 up  1:15,  2 users,  load average: 1.18, 1.19, 1.07
top - 09:26:03 up  1:15,  2 users,  load average: 1.18, 1.19, 1.07
top - 09:26:06 up  1:15,  2 users,  load average: 1.24, 1.20, 1.08
top - 09:26:09 up  1:15,  2 users,  load average: 1.30, 1.21, 1.08
top - 09:26:12 up  1:15,  2 users,  load average: 1.30, 1.21, 1.08
top - 09:26:15 up  1:15,  2 users,  load average: 1.28, 1.21, 1.08
top - 09:26:18 up  1:15,  2 users,  load average: 1.28, 1.21, 1.08
top - 09:26:21 up  1:15,  2 users,  load average: 1.26, 1.21, 1.08
top - 09:26:24 up  1:15,  2 users,  load average: 1.24, 1.20, 1.08
top - 09:26:27 up  1:15,  2 users,  load average: 1.24, 1.20, 1.08
top - 09:26:30 up  1:15,  2 users,  load average: 1.22, 1.20, 1.08
top - 09:26:33 up  1:15,  2 users,  load average: 1.22, 1.20, 1.08
top - 09:26:36 up  1:15,  2 users,  load average: 1.20, 1.20, 1.08
top - 09:26:39 up  1:16,  2 users,  load average: 1.18, 1.19, 1.08
top - 09:26:42 up  1:16,  2 users,  load average: 1.18, 1.19, 1.08
top - 09:26:45 up  1:16,  2 users,  load average: 1.17, 1.19, 1.08
top - 09:26:48 up  1:16,  2 users,  load average: 1.16, 1.19, 1.08
top - 09:26:51 up  1:16,  2 users,  load average: 1.16, 1.19, 1.08
top - 09:26:54 up  1:16,  2 users,  load average: 1.14, 1.18, 1.08
top - 09:26:57 up  1:16,  2 users,  load average: 1.14, 1.18, 1.08
top - 09:27:00 up  1:16,  2 users,  load average: 1.13, 1.18, 1.08
top - 09:27:03 up  1:16,  2 users,  load average: 1.12, 1.18, 1.08
top - 09:27:06 up  1:16,  2 users,  load average: 1.12, 1.18, 1.08
top - 09:27:09 up  1:16,  2 users,  load average: 1.11, 1.17, 1.08
top - 09:27:12 up  1:16,  2 users,  load average: 1.11, 1.17, 1.08
top - 09:27:15 up  1:16,  2 users,  load average: 1.10, 1.17, 1.08
top - 09:27:18 up  1:16,  2 users,  load average: 1.17, 1.18, 1.08
top - 09:27:22 up  1:16,  2 users,  load average: 1.17, 1.18, 1.08
top - 09:27:25 up  1:16,  2 users,  load average: 1.16, 1.18, 1.08
top - 09:27:28 up  1:16,  2 users,  load average: 1.16, 1.18, 1.08
top - 09:27:31 up  1:16,  2 users,  load average: 1.15, 1.18, 1.08
top - 09:27:34 up  1:16,  2 users,  load average: 1.21, 1.19, 1.09
top - 09:27:37 up  1:16,  2 users,  load average: 1.21, 1.19, 1.09
top - 09:27:40 up  1:17,  2 users,  load average: 1.36, 1.22, 1.10
top - 09:27:43 up  1:17,  2 users,  load average: 1.36, 1.22, 1.10
top - 09:27:46 up  1:17,  2 users,  load average: 1.33, 1.22, 1.10
top - 09:27:49 up  1:17,  2 users,  load average: 1.30, 1.21, 1.09
top - 09:27:52 up  1:17,  2 users,  load average: 1.30, 1.21, 1.09
top - 09:27:55 up  1:17,  2 users,  load average: 1.28, 1.21, 1.09
top - 09:27:58 up  1:17,  2 users,  load average: 1.28, 1.21, 1.09
top - 09:28:01 up  1:17,  2 users,  load average: 1.26, 1.21, 1.09
top - 09:28:04 up  1:17,  2 users,  load average: 1.24, 1.20, 1.09
top - 09:28:07 up  1:17,  2 users,  load average: 1.24, 1.20, 1.09
top - 09:28:10 up  1:17,  2 users,  load average: 1.22, 1.20, 1.09
top - 09:28:13 up  1:17,  2 users,  load average: 1.22, 1.20, 1.09
top - 09:28:16 up  1:17,  2 users,  load average: 1.20, 1.20, 1.09
top - 09:28:19 up  1:17,  2 users,  load average: 1.18, 1.19, 1.09
top - 09:28:22 up  1:17,  2 users,  load average: 1.18, 1.19, 1.09
top - 09:28:25 up  1:17,  2 users,  load average: 1.17, 1.19, 1.09
top - 09:28:28 up  1:17,  2 users,  load average: 1.17, 1.19, 1.09
top - 09:28:31 up  1:17,  2 users,  load average: 1.23, 1.20, 1.09
top - 09:28:34 up  1:17,  2 users,  load average: 1.22, 1.20, 1.09
top - 09:28:37 up  1:17,  2 users,  load average: 1.22, 1.20, 1.09
top - 09:28:40 up  1:18,  2 users,  load average: 1.28, 1.21, 1.10
top - 09:28:44 up  1:18,  2 users,  load average: 1.26, 1.21, 1.10
top - 09:28:47 up  1:18,  2 users,  load average: 1.26, 1.21, 1.10
top - 09:28:50 up  1:18,  2 users,  load average: 1.32, 1.22, 1.10
top - 09:28:53 up  1:18,  2 users,  load average: 1.32, 1.22, 1.10
top - 09:28:56 up  1:18,  2 users,  load average: 1.29, 1.22, 1.10
top - 09:28:59 up  1:18,  2 users,  load average: 1.27, 1.21, 1.10
top - 09:29:02 up  1:18,  2 users,  load average: 1.27, 1.21, 1.10
top - 09:29:05 up  1:18,  2 users,  load average: 1.25, 1.21, 1.10
top - 09:29:08 up  1:18,  2 users,  load average: 1.25, 1.21, 1.10
