top - 09:25:38 up  1:14,  2 users,  load average: 1.25, 1.20, 1.07
Tasks: 133 total,   2 running,  80 sleeping,   5 stopped,   1 zombie
%Cpu(s): 22.8 us,  1.2 sy,  0.0 ni, 75.1 id,  0.9 wa,  0.0 hi,  0.1 si,  0.0 s
KiB Mem :   949448 total,   273532 free,   148760 used,   527156 buff/cache
KiB Swap:   102396 total,   102396 free,        0 used.   720232 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU %MEM     TIME+ COMMAND
 7096 root      20   0  187080  39640  21708 R 105.9  4.2   7:35.51 python3
 8345 pi        20   0    8108   3132   2732 R  11.8  0.3   0:00.05 top
  470 root      20   0  221544  67340  36752 S   5.9  7.1   3:11.05 Xorg
    1 root      20   0   26992   5928   4768 S   0.0  0.6   0:01.99 systemd
    2 root      20   0       0      0      0 S   0.0  0.0   0:00.01 kthreadd
    4 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
    6 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 mm_percp+
    7 root      20   0       0      0      0 S   0.0  0.0   0:00.38 ksoftirq+
    8 root      20   0       0      0      0 I   0.0  0.0   0:01.02 rcu_sched
    9 root      20   0       0      0      0 I   0.0  0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S   0.0  0.0   0:00.02 migratio+
   11 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/0
   12 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/1
   13 root      rt   0       0      0      0 S   0.0  0.0   0:00.02 migratio+
   14 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirq+
   16 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   17 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/2
   18 root      rt   0       0      0      0 S   0.0  0.0   0:00.02 migratio+
   19 root      20   0       0      0      0 S   0.0  0.0   0:00.06 ksoftirq+
   21 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   22 root      20   0       0      0      0 S   0.0  0.0   0:00.00 cpuhp/3
   23 root      rt   0       0      0      0 S   0.0  0.0   0:00.01 migratio+
   24 root      20   0       0      0      0 S   0.0  0.0   0:00.05 ksoftirq+
   26 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kworker/+
   27 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kdevtmpfs
   28 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 netns
   33 root      20   0       0      0      0 S   0.0  0.0   0:00.00 khungtas+
   34 root      20   0       0      0      0 S   0.0  0.0   0:00.00 oom_reap+
   35 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 writeback
   36 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kcompact+
   37 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 crypto
   38 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kblockd
   39 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 watchdogd
   40 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 rpciod
   41 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 xprtiod
   44 root      20   0       0      0      0 S   0.0  0.0   0:00.00 kswapd0
   45 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 nfsiod
   55 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 kthrotld
   56 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 iscsi_eh
   57 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 dwc_otg
   58 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 DWC Noti+
   60 root       1 -19       0      0      0 S   0.0  0.0   0:05.66 vchiq-sl+
   61 root       1 -19       0      0      0 S   0.0  0.0   0:01.14 vchiq-re+
   62 root       0 -20       0      0      0 S   0.0  0.0   0:00.00 vchiq-sy+
   63 root      20   0       0      0      0 S   0.0  0.0   0:00.00 vchiq-ke+
   64 root      10 -10       0      0      0 S   0.0  0.0   0:00.00 SMIO
   65 root     -51   0       0      0      0 S   0.0  0.0   0:00.81 irq/92-m+
   68 root      20   0       0      0      0 S   0.0  0.0   0:01.38 mmcqd/0
   69 root      20   0       0      0      0 S   0.0  0.0   0:00.16 jbd2/mmc+
   70 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ext4-rsv+
   71 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 ipv6_add+
   84 root      20   0   26924   6096   5652 S   0.0  0.6   0:03.62 systemd-+
  124 root      20   0   14600   3332   2672 S   0.0  0.4   0:00.73 systemd-+
  228 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 cfg80211
  231 root       0 -20       0      0      0 I   0.0  0.0   0:00.00 brcmf_wq+
  232 root      20   0       0      0      0 S   0.0  0.0   0:00.25 brcmf_wd+
  290 systemd+  20   0   17280   3636   3236 S   0.0  0.4   0:00.12 systemd-+
  328 nobody    20   0    5296   2472   2232 S   0.0  0.3   0:01.26 thd
  331 message+  20   0    6704   3724   3108 S   0.0  0.4   0:00.89 dbus-dae+
  337 avahi     20   0    6536   2832   2524 S   0.0  0.3   0:03.00 avahi-da+
  338 root      20   0   23748   2708   2232 S   0.0  0.3   0:00.78 rsyslogd
  340 root      20   0    7380   4220   3780 S   0.0  0.4   0:00.13 systemd-+
  344 root      20   0    5296   2492   2284 S   0.0  0.3   0:00.02 cron
  365 avahi     20   0    6404    324     16 S   0.0  0.0   0:00.00 avahi-da+
  369 root      20   0    3016   1868   1392 S   0.0  0.2   0:00.06 dhcpcd
  408 root      20   0       0      0      0 S   0.0  0.0   0:01.57 RTW_CMD_+
  411 root      20   0   10032   3844   3336 S   0.0  0.4   0:00.63 wpa_supp+
  447 mosquit+  20   0    6332   4196   3780 S   0.0  0.4   0:01.90 mosquitto
  457 root      20   0   39956   7068   6308 S   0.0  0.7   0:00.16 lightdm
  480 root      20   0    5880   2876   2420 S   0.0  0.3   0:00.03 login
  488 root      20   0   10144   3676   3140 S   0.0  0.4   0:00.81 wpa_supp+
  515 root      20   0   32188   7764   6916 S   0.0  0.8   0:00.06 lightdm
  523 pi        20   0    9656   5764   5012 S   0.0  0.6   0:00.16 systemd
  526 pi        20   0   11248   1316     68 S   0.0  0.1   0:00.00 (sd-pam)
  540 pi        20   0   52504  12544  11292 S   0.0  1.3   0:01.20 lxsession
  546 root      20   0    2096    152     16 S   0.0  0.0   0:00.00 hciattach
